Sample
1_Mock_Ciliated_1_S1
10_6hr_Ciliated_10_S10
11_6hr_Ciliated_11_S11
12_6hr_Ciliated_12_S12
13_3hr_Ciliated_13_S13
14_3hr_Ciliated_14_S14
15_3hr_Ciliated_15_S15
16_Mock_Sec_1_S16
17_Mock_Sec_2_S17
18_Mock_Sec_3_S18
19_12hr_Sec_4_S19
2_Mock_Ciliated_2_S2
20_12hr_Sec_5_S20
21_12hr_Sec_6_S21
22_9hr_Sec_7_S22
23_9hr_Sec_8_S23
24_9hr_Sec_9_S24
25_6hr_Sec_10_S25
26_6hr_Sec_11_S26
27_6hr_Sec_12_S27
28_3hr_Sec_13_S28
29_3hr_Sec_14_S29
3_Mock_Ciliated_3_S3
30_3hr_Sec_15_S30
4_12hr_Ciliated_4_S4
5_12hr_Ciliated_5_S5
6_12hr_Ciliated_6_S6
7_9hr_Ciliated_7_S7
8_9hr_Ciliated_8_S8
9_9hr_Ciliated_9_S9
